Word,Vowel,Timeinterval,F1,F2,F3,F4,Speaker,Language
guy,ai,40,780.3,1329.4,2405.4,3619.2,13,L1English
guy,ai,50,773.6,1432.5,2343.3,3659,13,L1English
guy,ai,60,732.4,1619.7,2366.4,2757.3,13,L1English
guy,ai,70,582.2,1856.1,2432.1,3224.9,13,L1English
guy,ai,80,398.8,2168.9,2591.7,3308.3,13,L1English
guy,ai,90,341.8,2242.2,2675.5,3668.7,13,L1English
guy,ai,10,607.2,1637.9,2701.1,3721.6,15,L1English
guy,ai,20,686,1510.3,2325.7,3615.6,15,L1English
guy,ai,30,695.4,1398.7,2390,3556.3,15,L1English
guy,ai,40,716.1,1445.3,2445.1,3579.4,15,L1English
guy,ai,50,681.2,1588.1,2454.8,3558.5,15,L1English
guy,ai,60,622.8,1752.6,2615.3,3707.1,15,L1English
guy,ai,70,507.5,1985.6,2614.7,3634,15,L1English
guy,ai,80,482,2278.6,2776.6,3821.4,15,L1English
guy,ai,90,485.8,2427.6,2990.1,3948.3,15,L1English
guy,ai,10,569.6,1346.7,2788.8,3737,19,L1English
guy,ai,20,668.6,1320.4,2714.9,3476.7,19,L1English
guy,ai,30,723.8,1333.7,2697.2,3596,19,L1English
guy,ai,40,708.2,1367.2,2688,3387.2,19,L1English
guy,ai,50,711.6,1417,2679.8,3526.6,19,L1English
guy,ai,60,687.1,1481,2759.3,3721.2,19,L1English
guy,ai,70,613.8,1591.1,2856,3725.5,19,L1English
guy,ai,80,514.5,1748.8,2905.6,3707.3,19,L1English
guy,ai,90,434.2,2053.3,3001.3,3012.4,19,L1English
guy,ai,10,626,1411.2,2185.5,3252.6,20,L1English
guy,ai,20,713.7,1275.6,2340.6,3425.4,20,L1English
guy,ai,30,731.8,1235.5,2399.1,3441.6,20,L1English
guy,ai,40,763.6,1232.3,2469.6,3602.5,20,L1English
guy,ai,50,775.2,1290.5,2465.1,3543.5,20,L1English
guy,ai,60,735.5,1452.4,2374.9,3471.6,20,L1English
guy,ai,70,616.3,1756.5,2459.8,3468.8,20,L1English
